Sold To # (Pur),Sold To Name (Pur),Disti ID
1008372,ANALOG TECH SYSTEMS INC,ANALOG WORLD
1008327,ANALOG WORLD CO. LTD.,ANALOG WORLD
1016176,ANSWER TECHNOLOGY CO. LTD,ANSWER TECH
1037216,ARROW ELECTRONICS AUSTRALIA,ARROW-AU
1034921,ARROW ELECTRONICS ASIA(S)PTE LTD (I,ARROW-IN
1007684,ARROW ASIA PAC LIMITED,ARROW-KR
1010804,ARROW ELECTRONICS KOREA LTD.,ARROW-KR
1036856,ARROW ELECTRONICS ASIA (S) PTE LTD,ARROW-SG
1041724,ARROW ELECTRONICS ASIA (S) PTE. LTD,ARROW-APR
1008162,ARROW ELECTRONICS TAIWAN LTD.,ARROW-TW
1036624,AVNET INDIA PVT LTD,AVNET-IN
1034890,AVNET ASIA PTE LTD (SG),AVNET-SG
1039165,ELEMENT 14 PTE. LTD.,ELEMENT14
1022836,EXCELPOINT SYSTEMS PTE. LTD. (AUSTR,ESPL-AU
1012264,EXCELPOINT SYSTEMS (INDIA) PVT LTD,ESPL-IN
1001793,EXCELPOINT SYSTEMS PTE LTD (SINGAPO,ESPL-SG
1037154,WORLD PEACE INTL (SOUTH ASIA) PTE L,WPI-IN
1022348,WORLD PEACE INTL (SOUTH ASIA) PTE L,WPI-SG
1016830,WORLD PEACE IND. CO. LTD.,WPI-TW
1042890,MACNICA CYTECH PTE LTD,MACNICA-APR
1043104,MORRIHAN INTERNATIONAL CORP,MORRIHAN
1043105,"SHEENBANG ELECTRONICS CO., LTD.",SHEENBANG
1043106,SHEENBANG GLS LIMITED,SHEENBANG
1044149,ANALOGTECHSYS LTD,ANALOG WORLD
1007011,ARROW ASIA PACIFIC LTD.,ARROW-ASIA
1004052,AVNET ELECTRONICS MARKETING (AUSTRA,AVNET-AU
1007800,SERIAL MICROELECTRONICS KOREA LIMIT,SERIAL
1035235,AVNET ASIA PTE. LTD. TAIWAN BRANCH,AVNET-TW
1036454,AVNET ASIA PTE LTD (KR),AVNET-KR
